cell	seurat_clusters	celltype
c991	1	Endo
c992	9	eL2/3
c993	2	eL6
c994	12	Micro
c995	8sub1	PVALB
c996	7	eL4
c997	1	Endo
c998	2	eL6
c999	7	eL4
c1000	3	Oligo
c1001	7	eL4
c1002	10	eL2/3
c1003	2	eL6
c1004	11	Oligo
c1005	2	eL6
c1006	7	eL4
c1007	12	Micro
c1008	4	eL5
c1009	7	eL4
c1010	6	eL4
c1011	2	eL6
c1012	7	eL4
c1013	10	eL2/3
c1014	8sub3	VIP
c1015	5	Astro
c1016	11	Oligo
c1017	5	Astro
c1018	8sub3	VIP
c1019	1	Endo
c1020	9	eL2/3
c1021	3	Oligo
c1022	8sub1	PVALB
c1023	2	eL6
c1024	9	eL2/3
c1025	6	eL4
c1026	11	Oligo
c1027	8sub1	PVALB
c1028	4	eL5
c1029	3	Oligo
c1030	6	eL4
c1031	4	eL5
c1032	7	eL4
c1033	7	eL4
c1034	3	Oligo
c1035	2	eL6
c1036	10	eL2/3
c1037	10	eL2/3
c1038	12	Micro
c1039	5	Astro
c1040	3	Oligo
c1041	7	eL4
c1042	3	Oligo
c1043	1	Endo
c1044	8sub2	SST
c1045	7	eL4
c1046	4	eL5
c1047	7	eL4
c1048	9	eL2/3
c1049	9	eL2/3
c1050	5	Astro
c1051	2	eL6
c1052	6	eL4
c1053	2	eL6
c1054	13	Smc
c1055	2	eL6
c1056	5	Astro
c1057	8sub2	SST
c1058	4	eL5
c1059	1	Endo
c1060	1	Endo
c1061	8sub1	PVALB
c1062	4	eL5
c1063	5	Astro
c1064	10	eL2/3
c1065	4	eL5
c1066	11	Oligo
c1067	2	eL6
c1068	3	Oligo
c1069	1	Endo
c1070	10	eL2/3
c1071	3	Oligo
c1072	2	eL6
c1073	8sub4	RELN
c1074	4	eL5
c1075	7	eL4
c1076	2	eL6
c1077	11	Oligo
c1078	4	eL5
c1079	1	Endo
c1080	1	Endo
c1081	11	Oligo
c1082	1	Endo
c1083	11	Oligo
c1084	5	Astro
c1085	7	eL4
c1086	9	eL2/3
c1087	3	Oligo
c1088	3	Oligo
c1089	2	eL6
c1090	9	eL2/3
c1091	8sub4	RELN
c1092	6	eL4
c1093	2	eL6
c1094	11	Oligo
c1095	2	eL6
